Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
240,35,2.5,A,2,3,1,0.076923077
240,35,1.2,A,3,1,4,0.8
240,35,1.2,A,3,2,8,1
240,35,1.2,A,3,3,10,1
240,35,2.3,A,4,1,3,0.230769231
240,35,2.3,A,4,2,4,0.333333333
240,35,2.3,A,4,3,3,0.230769231
240,35,2.5,A,5,4,1,0.058823529
240,35,2.5,A,5,5,1,0.055555556
240,35,2.5,A,5,6,2,0.1
240,35,1.7,A,6,1,4,0.266666667
240,35,1.7,A,6,2,2,0.166666667
240,35,1.7,A,6,3,10,0.625
240,35,2.3,B,1,4,2,0.142857143
240,35,2.3,B,1,5,1,0.04
240,35,2.3,B,1,6,1,0.083333333
240,35,1.5,B,2,1,19,0.76
240,35,1.5,B,2,2,9,0.9
240,35,1.5,B,2,3,10,1
240,35,1.2,B,3,4,8,0.888888889
240,35,1.2,B,3,5,8,1
240,35,1.2,B,3,6,10,1
240,35,2.5,B,4,7,2,0.105263158
240,35,2.5,B,4,8,2,0.133333333
240,35,2.5,B,4,9,3,0.130434783
240,35,1.7,B,5,4,6,0.6
240,35,1.7,B,5,5,4,0.333333333
240,35,1.7,B,5,6,5,0.454545455
240,35,1.5,B,6,4,6,0.461538462
240,35,1.5,B,6,5,7,0.875
240,35,1.5,B,6,6,5,0.555555556
240,35,1.7,C,1,7,4,0.266666667
240,35,1.7,C,1,8,5,0.357142857
240,35,1.7,C,1,9,3,0.3
240,35,1.2,C,2,7,11,1
240,35,1.2,C,2,8,14,1
240,35,1.2,C,2,9,6,0.666666667
240,35,2.4,C,3,4,16,0.551724138
240,35,2.4,C,3,5,17,0.459459459
240,35,2.4,C,3,6,15,0.5
240,35,1.5,C,4,7,10,1
240,35,1.5,C,4,8,12,0.75
240,35,1.5,C,4,9,17,1
240,35,1.7,C,5,10,3,0.3
240,35,1.7,C,5,11,4,0.444444444
240,35,1.7,C,5,12,9,0.45
240,35,2.3,C,6,7,1,0.058823529
240,35,2.3,C,6,8,4,0.266666667
240,35,2.3,C,6,9,7,0.5
240,35,2.3,D,1,10,6,0.260869565
240,35,2.3,D,1,11,3,0.214285714
240,35,2.3,D,1,12,4,0.333333333
240,35,1.5,D,2,10,9,1
240,35,1.5,D,2,11,15,0.9375
240,35,1.5,D,2,12,2,0.285714286
240,35,2.4,D,3,7,25,0.78125
240,35,2.4,D,3,8,15,0.416666667
240,35,2.4,D,3,9,21,0.75
240,35,2.5,D,4,10,1,0.071428571
240,35,2.5,D,4,11,0,0
240,35,2.5,D,4,12,6,0.260869565
240,35,1.2,D,5,10,15,0.75
240,35,1.2,D,5,11,8,0.727272727
240,35,1.2,D,5,12,11,1
240,35,2.4,D,6,10,17,0.566666667
240,35,2.4,D,6,11,19,0.678571429
240,35,2.4,D,6,12,18,0.782608696
300,37.5,2.4,A,1,1,7,0.269230769
300,37.5,2.4,A,1,2,6,0.193548387
300,37.5,2.4,A,1,3,10,0.476190476
